iter	Logloss
0	0.6732040218
1	0.6561831732
2	0.6384410176
3	0.62304826
4	0.6092879595
5	0.5936696665
6	0.5838604054
7	0.5719596857
8	0.5603008742
9	0.5497045394
10	0.5382323513
11	0.5299677669
12	0.5209333841
13	0.512714815
14	0.5045430988
15	0.4963335667
16	0.4905037177
17	0.484306857
18	0.479608667
19	0.473239888
20	0.4689137588
21	0.4636762477
22	0.4591290774
23	0.4548779729
24	0.4512372512
25	0.4481517745
26	0.4446944265
27	0.4407173346
28	0.4377485592
29	0.4347064665
30	0.4318947224
31	0.4289372739
32	0.4258759969
33	0.4237311097
34	0.4213336109
35	0.4185444133
36	0.4166669893
37	0.4148549634
38	0.4120651756
39	0.4100601185
40	0.4078915979
41	0.405205812
42	0.4036864312
43	0.4019631031
44	0.4003648455
45	0.3988364489
46	0.3963904239
47	0.3951048747
48	0.3938697434
49	0.3918663855
50	0.3892651361
51	0.3878803868
52	0.3863208424
53	0.3851865917
54	0.383275561
55	0.3822385707
56	0.3818646116
57	0.3809132864
58	0.3798215071
59	0.3787174664
60	0.3778877405
61	0.3769369075
62	0.3758057738
63	0.3749848634
64	0.3733045087
65	0.3720233876
66	0.371417955
67	0.3706311868
68	0.3696162108
69	0.3680832593
70	0.3673720747
71	0.3666070699
72	0.3657039342
73	0.3650400488
74	0.3644050396
75	0.3638166475
76	0.3630612198
77	0.3624366738
78	0.3619218701
79	0.3613702307
80	0.3607655067
81	0.3597863169
82	0.35921694
83	0.3579629265
84	0.3574250673
85	0.3567800887
86	0.3560967896
87	0.3552477911
88	0.3546502663
89	0.3541062955
90	0.3535021663
91	0.3530389379
92	0.3521006205
93	0.3511437356
94	0.3502356094
95	0.3497406626
96	0.3492690137
97	0.3489094911
98	0.3484575495
99	0.3479082238
100	0.3473213833
101	0.3468668808
102	0.3464180611
103	0.3459347941
104	0.3452911771
105	0.3445617164
106	0.343636567
107	0.3432689123
108	0.3429433334
109	0.3424885666
110	0.3415971033
111	0.3403967178
112	0.3399960451
113	0.33944178
114	0.3390598798
115	0.3385467079
116	0.3382640372
117	0.3379275661
118	0.3376170355
119	0.3372291357
120	0.3368222185
121	0.3359653464
122	0.3356719342
123	0.3355022878
124	0.334808624
125	0.3341293421
126	0.3335224164
127	0.3331351238
128	0.3325372879
129	0.3321412285
130	0.3317359675
131	0.331155254
132	0.3310331955
133	0.3307824539
134	0.3305656088
135	0.330241405
136	0.3295406663
137	0.3292035314
138	0.3289323125
139	0.3284156706
140	0.3282543897
141	0.3279859823
142	0.3276023081
143	0.3270258326
144	0.3264413108
145	0.3261167945
146	0.3257356997
147	0.3255512569
148	0.3252856809
149	0.3250228765
150	0.3246288801
151	0.3243532919
152	0.3241555518
153	0.3238282111
154	0.3235493195
155	0.3232540618
156	0.3229476602
157	0.3227025006
158	0.3225010962
159	0.3224572348
160	0.3222991204
161	0.3219692583
162	0.3217120681
163	0.321475945
164	0.3209614978
165	0.3204853066
166	0.3199445278
167	0.3196716086
168	0.3194167752
169	0.3192918014
170	0.3190895901
171	0.3186814324
172	0.3183202066
173	0.3178361228
174	0.3174980757
175	0.3171121793
176	0.3169354268
177	0.3166867195
178	0.3164505569
179	0.316187874
180	0.3158475244
181	0.3156732626
182	0.3152434306
183	0.3149614245
184	0.3147189091
185	0.3143669516
186	0.3142013308
187	0.3140089412
188	0.3136588849
189	0.3136307999
190	0.3134353274
191	0.313246653
192	0.3128923456
193	0.3126199968
194	0.3124264079
195	0.3122093502
