iter	Passed	Remaining
0	61	122741
1	63	63080
2	64	43183
3	66	33194
4	68	27207
5	70	23284
6	71	20340
7	73	18186
8	74	16562
9	76	15272
10	78	14217
11	80	13344
12	82	12612
13	84	11981
14	86	11424
15	88	10934
16	90	10498
17	92	10134
18	93	9789
19	95	9484
20	97	9202
21	99	8935
22	101	8732
23	103	8520
24	105	8321
25	107	8138
26	108	7964
27	110	7806
28	112	7669
29	114	7530
30	116	7414
31	118	7296
32	120	7180
33	122	7070
34	124	6970
35	125	6873
36	127	6786
37	129	6704
38	131	6620
39	133	6544
40	135	6471
41	137	6396
42	139	6329
43	141	6268
44	142	6204
45	144	6141
46	146	6091
47	148	6045
48	150	5993
49	152	5943
50	154	5901
51	156	5855
52	158	5816
53	160	5775
54	162	5734
55	163	5693
56	165	5641
57	167	5612
58	169	5573
59	171	5540
60	173	5505
61	175	5473
62	177	5442
63	178	5413
64	180	5383
65	182	5356
66	184	5326
67	186	5297
68	188	5269
69	190	5240
70	191	5216
71	193	5193
72	195	5169
73	197	5149
74	200	5133
75	201	5108
76	203	5087
77	205	5064
78	207	5040
79	209	5019
80	211	4999
81	212	4980
82	214	4959
83	216	4943
84	218	4924
85	220	4908
86	222	4890
87	224	4874
88	226	4857
89	228	4842
90	230	4830
91	232	4815
92	234	4799
93	235	4783
94	237	4765
95	239	4752
96	241	4735
97	243	4720
98	245	4705
99	246	4692
100	249	4682
101	250	4666
102	252	4653
103	254	4638
104	256	4626
105	258	4612
106	260	4600
107	262	4594
108	264	4584
109	266	4572
110	267	4559
111	269	4548
112	271	4538
113	274	4544
114	276	4538
115	279	4532
116	281	4525
117	283	4520
118	285	4516
119	287	4502
120	289	4490
121	290	4476
122	292	4465
123	294	4453
124	296	4444
125	298	4437
126	300	4432
127	302	4426
128	304	4419
129	306	4409
130	308	4400
131	310	4391
132	312	4381
133	314	4378
134	316	4371
135	318	4362
136	320	4355
137	322	4345
138	323	4333
139	325	4323
140	327	4314
141	329	4305
142	331	4302
143	333	4295
144	335	4289
145	337	4281
146	339	4274
147	341	4268
148	343	4261
149	344	4254
150	347	4249
151	348	4241
152	350	4232
153	352	4224
154	354	4216
155	356	4210
156	358	4204
157	359	4196
158	361	4188
159	363	4179
160	365	4173
161	367	4167
162	369	4164
163	371	4157
164	373	4150
165	374	4143
166	376	4137
167	378	4131
168	380	4126
169	382	4119
170	384	4114
171	386	4107
172	388	4101
173	390	4096
174	392	4090
175	393	4082
176	395	4078
177	397	4073
178	399	4068
179	401	4061
180	403	4055
181	405	4049
182	407	4045
183	409	4038
184	411	4033
185	413	4028
186	414	4022
187	416	4015
188	418	4009
189	419	3999
190	421	3991
191	423	3985
192	425	3980
193	427	3976
194	428	3969
195	430	3964
196	432	3958
197	434	3952
198	436	3947
199	438	3942
200	439	3937
201	441	3932
202	443	3926
203	445	3920
204	447	3914
205	448	3908
206	450	3902
207	452	3897
208	454	3895
209	456	3892
210	458	3890
211	461	3895
212	471	3954
213	473	3955
214	476	3957
215	480	3966
216	482	3964
217	485	3972
218	488	3972
219	491	3974
220	493	3972
221	496	3976
222	498	3974
223	501	3972
224	503	3969
225	505	3965
226	507	3960
227	508	3955
228	510	3951
229	512	3946
230	514	3941
231	516	3936
232	518	3931
233	520	3925
234	522	3920
235	523	3914
236	525	3910
237	527	3905
238	529	3900
239	531	3895
240	533	3891
241	535	3889
242	537	3884
243	539	3879
244	540	3874
245	542	3869
246	544	3865
247	546	3860
248	548	3856
249	550	3851
250	551	3845
251	553	3841
252	555	3837
253	557	3834
254	559	3830
255	562	3831
256	564	3827
257	566	3822
258	567	3817
259	569	3813
260	571	3808
261	573	3804
262	575	3800
263	577	3797
264	579	3793
265	581	3789
266	583	3785
267	585	3781
268	587	3777
269	588	3773
270	590	3769
271	592	3764
272	594	3760
273	595	3752
274	597	3749
275	599	3745
276	601	3741
277	603	3737
278	605	3733
279	607	3729
280	609	3725
281	611	3722
282	612	3718
283	614	3714
284	616	3712
285	618	3709
286	620	3705
287	622	3700
288	624	3696
289	626	3693
290	628	3689
291	630	3686
292	632	3682
293	633	3677
294	635	3674
295	637	3670
296	639	3667
297	641	3662
298	643	3658
299	645	3655
300	646	3651
301	648	3646
302	650	3642
303	652	3639
304	654	3635
305	655	3631
306	657	3626
307	659	3623
308	661	3618
309	663	3614
310	664	3611
311	666	3608
312	668	3604
313	670	3600
314	672	3595
315	673	3591
316	675	3588
317	677	3583
318	680	3584
319	682	3580
320	683	3577
321	685	3574
322	687	3570
323	690	3570
324	692	3567
325	694	3564
326	696	3561
327	697	3557
328	699	3553
329	701	3549
330	703	3546
331	705	3542
332	706	3538
333	709	3536
334	711	3534
335	713	3531
336	714	3527
337	716	3524
338	718	3520
339	720	3517
340	722	3514
341	724	3511
